,Jugador,POS,Equipo,Cotización,CG,AcG,PrG,CT,AcT,PrT,GT,GJ,GC,TL,GP,GV,GO,GR,GE,VF,VI,TA,TR,PE,PA,Fecha,Puntaje
314,"Rolón, Juan Carlos",ARQ,Dep. Riestra,$ 300.000,,,,,,,,,,,,,,,,,,,,,,1,
315,"Barbieri, Miguel Ángel",DEF,Dep. Riestra,$ 2.000.000,8,42,"5,25",9,55,"6,11",0,0,0,0,0,0,0,,0,1,5,4,0,0,,1,
316,"Bracamonte, Mariano",DEF,Dep. Riestra,$ 500.000,1,7,"7,00",2,11,"5,50",0,0,0,0,0,0,0,,0,0,3,0,0,0,,1,
317,"Caro Torres, Nicolás",DEF,Dep. Riestra,$ 1.000.000,1,5,"5,00",1,5,"5,00",0,0,0,0,0,0,0,,0,0,0,0,0,0,,1,
318,"Gallo, Rodrigo",DEF,Dep. Riestra,$ 600.000,3,15,"5,00",6,33,"5,50",0,0,0,0,0,0,0,,0,0,5,3,0,0,,1,9
319,"Miño, Facundo",DEF,Dep. Riestra,$ 500.000,12,70,"5,83",15,88,"5,87",0,0,0,0,0,0,0,,0,0,7,4,0,0,,1,6
320,"Montoya, Nehuén",DEF,Dep. Riestra,$ 300.000,,,,,,,,,,,,,,,,,,,,,,1,
321,"Murillo, Yeison",DEF,Dep. Riestra,$ 900.000,,,,,,,,,,,,,,,,,,,,,,1,
322,"Paz, Cristian",DEF,Dep. Riestra,$ 600.000,12,84,"7,00",15,104,"6,93",1,1,0,0,0,0,0,,0,1,7,3,0,0,,1,8
323,"Ramírez, Pedro",DEF,Dep. Riestra,$ 1.000.000,10,69,"6,90",12,83,"6,92",1,1,0,0,0,1,0,,0,0,7,1,1,0,,1,7
324,"Randazzo, Juan Cruz",DEF,Dep. Riestra,$ 600.000,4,22,"5,50",4,22,"5,50",0,0,0,0,0,0,0,,0,0,7,1,0,0,,1,
325,"Rodríguez, Justo",DEF,Dep. Riestra,$ 400.000,,,,,,,,,,,,,,,,,,,,,,1,
326,"Sansotre, Nicolás",DEF,Dep. Riestra,$ 700.000,12,68,"5,67",15,87,"5,80",0,0,0,0,0,0,0,,0,0,7,3,0,0,,1,7
327,"Sayavedra, Rodrigo",DEF,Dep. Riestra,$ 500.000,,,,1,2,"2,00",0,0,0,0,0,0,0,,0,0,1,1,0,0,,1,
328,"Tovo, Eric",DEF,Dep. Riestra,$ 600.000,,,,,,,,,,,,,,,,,,,,,,1,
329,"Fagúndez, Franco",VOL,Dep. Riestra,$ 500.000,,,,,,,,,,,,,,,,,,,,,,1,
330,"Goitía, Jonatan",VOL,Dep. Riestra,$ 600.000,12,80,"6,67",15,93,"6,20",2,2,0,0,0,1,0,,0,1,,4,0,0,,1,6
331,"Landriel, Leonardo",VOL,Dep. Riestra,$ 700.000,1,4,"4,00",3,14,"4,67",0,0,0,0,0,0,0,,0,0,,0,0,0,,1,5
332,"Monje, Pablo",VOL,Dep. Riestra,$ 1.000.000,10,60,"6,00",11,65,"5,91",0,0,0,0,0,0,0,,0,2,,2,0,0,,1,5
333,"Muñoz, Ariel",VOL,Dep. Riestra,$ 400.000,,,,,,,,,,,,,,,,,,,,,,1,
334,"Obredor, Gabriel",VOL,Dep. Riestra,$ 500.000,3,15,"5,00",5,33,"6,60",1,1,0,0,0,1,0,,0,0,,1,0,0,,1,
335,"Ramírez, Mateo",VOL,Dep. Riestra,$ 500.000,5,23,"4,60",5,23,"4,60",0,0,0,0,0,0,0,,1,0,,2,0,0,,1,
336,"Alonso, Antony",DEL,Dep. Riestra,$ 1.000.000,11,71,"6,45",14,86,"6,14",2,1,1,0,0,1,0,,0,0,,0,0,0,,1,5
337,"Benegas, Nicolás",DEL,Dep. Riestra,$ 2.000.000,5,23,"4,60",7,31,"4,43",1,1,0,0,0,0,0,,0,0,,3,0,0,,1,6
338,"Céliz, Milton",DEL,Dep. Riestra,$ 2.400.000,9,55,"6,11",12,74,"6,17",2,2,0,0,0,1,0,,0,1,,3,0,0,,1,4
339,"Díaz, Alexander",DEL,Dep. Riestra,$ 1.000.000,12,79,"6,58",14,90,"6,43",2,2,0,0,0,1,0,,0,1,,3,0,0,,1,
340,"González, Ramón",DEL,Dep. Riestra,$ 1.000.000,,,,,,,0,0,0,0,0,0,0,,0,0,,1,0,0,,1,
341,"Gugenheim, Carlos",DEL,Dep. Riestra,$ 300.000,,,,,,,0,0,0,0,0,0,0,,0,0,,0,0,0,,1,
342,"Guille, Braian",DEL,Dep. Riestra,$ 1.200.000,,,,1,4,"4,00",0,0,0,0,0,0,0,,0,0,,0,0,0,,1,
343,"Herrera, Jonathan",DEL,Dep. Riestra,$ 2.900.000,12,85,"7,08",15,110,"7,33",6,4,0,0,2,1,0,,0,1,,1,0,0,,1,11
344,"Martins, Juan Cruz",DEL,Dep. Riestra,$ 300.000,,,,,,,,,,,,,,,,,,,,,,1,
345,"Smarra, Mauro",DEL,Dep. Riestra,$ 300.000,,,,,,,,,,,,,,,,,,,,,,1,
346,"Stringa, Ángel",DEL,Dep. Riestra,$ 400.000,,,,,,,0,0,0,0,0,0,0,,0,0,,0,0,0,,1,
347,"Vera, Santiago",DEL,Dep. Riestra,$ 900.000,,,,,,,0,0,0,0,0,0,0,,0,0,,0,0,0,,1,
348,Estadísticas totales de Deportivo Riestra:,,,$ 31.600.000,155,960,"6,19",197,1221,"6,20",18,15,1,0,2,7,0,11,1,10,56,41,1,0,0,1,94
349,"Borzone, Rodrigo",ARQ,Estudiantes,$ 300.000,,,,,,,,,,,,,,,,,,,,,,1,
350,"Iacovich, Fabricio",ARQ,Estudiantes,$ 900.000,1,9,"9,00",1,9,"9,00",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,
351,"Muslera, Fernando",ARQ,Estudiantes,$ 4.900.000,11,55,"5,00",14,77,"5,50",0,0,0,0,0,0,0,16,0,2,3,1,0,0,0,1,6
352,"Arzamendia, Santiago",DEF,Estudiantes,$ 2.500.000,10,63,"6,30",13,80,"6,15",1,1,0,0,0,1,0,,0,0,4,3,0,0,,1,7
353,"Benedetti, Gastón",DEF,Estudiantes,$ 1.800.000,2,10,"5,00",4,19,"4,75",0,0,0,0,0,0,0,,0,0,4,1,1,0,,1,4
354,"Desábato, Máximo",DEF,Estudiantes,$ 300.000,1,8,"8,00",1,8,"8,00",0,0,0,0,0,0,0,,0,0,1,0,0,0,,1,
355,"Funes Mori, Ramiro",DEF,Estudiantes,$ 3.000.000,2,12,"6,00",3,14,"4,67",0,0,0,0,0,0,0,,0,0,1,1,0,0,,1,
